mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_year,bp_id,bref_id,bref_name,fg_id,fg_name,fg_pos,lahman_id,retro_id,retro_name,debut
571851,Spencer Kieboom,C,WSH,Washington Nationals,R,R,1991,100176,kiebosp01,Spencer Kieboom,13300,Spencer Kieboom,C,kiebosp01,kiebs001,Spencer Kieboom,20161002
572073,Joey Rickard,CF,BAL,Baltimore Orioles,R,L,1991,100182,rickajo01,Joey Rickard,13277,Joey Rickard,OF,rickajo01,rickj001,Joey Rickard,20160404
572227,Zach Vincej,SS,SEA,Seattle Mariners,R,R,1991,100187,vinceza01,Zach Vincej,13269,Zach Vincej,SS,vinceza01,vincz001,Zach Vincej,20170901
572403,Drew VerHagen,P,DET,Detroit Tigers,R,R,1990,100188,verhadr01,Drew VerHagen,13424,Drew VerHagen,P,verhadr01,verhd001,Drew VerHagen,20140719
580792,Nick Goody,P,CLE,Cleveland Indians,R,R,1991,100191,goodyni01,Nick Goody,13685,Nick Goody,P,goodyni01,goodn001,Nick Goody,20150730
581527,Devon Travis,2B,TOR,Toronto Blue Jays,R,R,1991,100193,travide01,Devon Travis,13862,Devon Travis,2B,travide01,travd001,Devon Travis,20150406
582473,Sherman Johnson,2B,LAA,Los Angeles Angels,L,R,1990,100195,johnssh01,Sherman Johnson,13906,Sherman Johnson,2B,,johns002,Sherman Johnson,20180919
592144,Wynton Bernard,OF,DET,Detroit Tigers,R,R,1990,100197,,,sa658999,Wynton Bernard,,,,,22220202
592866,Trevor Williams,P,PIT,Pittsburgh Pirates,R,R,1992,100206,willitr01,Trevor Williams,16977,Trevor Williams,P,willitr01,willt002,Trevor Williams,20160907
599683,Warwick Saupold,P,DET,Detroit Tigers,R,R,1990,100211,saupowa01,Warwick Saupold,13211,Warwick Saupold,P,saupowa01,saupw001,Warwick Saupold,20160514
605525,J.B. Wendelken,P,OAK,Oakland Athletics,R,R,1993,100243,wendejb01,J.B. Wendelken,14506,J.B. Wendelken,P,wendejb01,wendj001,J.B. Wendelken,20160508
606149,Giovanny Gallegos,P,STL,St. Louis Cardinals,R,R,1991,100246,gallegi01,Giovanny Gallegos,14986,Giovanny Gallegos,P,gallegi01,gallg001,Giovanny Gallegos,20170512
608328,Chase De Jong,P,MIN,Minnesota Twins,L,R,1993,100260,dejonch01,Chase De Jong,15036,Chase De Jong,P,dejonch01,dejoc001,Chase De Jong,20170405
608337,Lucas Giolito,P,CWS,Chicago White Sox,R,R,1994,100261,giolilu01,Lucas Giolito,15474,Lucas Giolito,P,giolilu01,gioll001,Lucas Giolito,20160628
608421,Eliezer Alvarez,OF,TEX,Texas Rangers,L,R,1994,100268,,,sa657261,Eliezer Alvarez,,,,,22220202
608475,Dawel Lugo,2B,DET,Detroit Tigers,R,R,1994,100271,lugoda01,Dawel Lugo,14713,Dawel Lugo,2B,,lugod001,Dawel Lugo,20180830
608566,German Marquez,P,COL,Colorado Rockies,R,R,1995,100273,marquge01,German Marquez,15038,German Marquez,P,marquge01,marqg001,German Marquez,20160908
608577,Nomar Mazara,RF,TEX,Texas Rangers,L,L,1995,100279,mazarno01,Nomar Mazara,14553,Nomar Mazara,OF,mazarno01,mazan001,Nomar Mazara,20160410
608597,Ronald Guzman,1B,TEX,Texas Rangers,L,L,1994,100281,guzmaro01,Ronald Guzman,14388,Ronald Guzman,1B,,guzmr001,Ronald Guzman,20180413
608638,JT Chargois,P,LAD,Los Angeles Dodgers,S,R,1990,100288,chargjt01,JT Chargois,13767,JT Chargois,P,chargjt01,charj001,J.T. Chargois,20160611
608641,Tim Cooney,P,CLE,Cleveland Indians,L,L,1990,100289,cooneti01,Tim Cooney,13762,Tim Cooney,P,cooneti01,coont001,Tim Cooney,20150430
608648,Tyler Duffey,P,MIN,Minnesota Twins,R,R,1990,100292,duffety01,Tyler Duffey,13758,Tyler Duffey,P,duffety01,dufft001,Tyler Duffey,20150805
608650,Dietrich Enns,P,MIN,Minnesota Twins,L,L,1991,100294,ennsdi01,Dietrich Enns,13932,Dietrich Enns,P,ennsdi01,ennsd001,Dietrich Enns,20170810
608654,Johnny Field,RF,CHC,Chicago Cubs,R,R,1992,100295,fieldjo04,Johnny Field,15048,Johnny Field,OF,,fielj003,Johnny Field,20180418
608671,Travis Jankowski,RF,SD,San Diego Padres,L,R,1991,100300,jankotr01,Travis Jankowski,13768,Travis Jankowski,OF,jankotr01,jankt001,Travis Jankowski,20150821
608672,Micah Johnson,2B,TB,Tampa Bay Rays,L,R,1990,100301,johnsmi04,Micah Johnson,13809,Micah Johnson,2B,johnsmi04,johnm006,Micah Johnson,20150406
608678,Dominic Leone,P,STL,St. Louis Cardinals,R,R,1991,100305,leonedo01,Dominic Leone,13763,Dominic Leone,P,leonedo01,leond003,Dominic Leone,20140406
608691,Mason Melotakis,P,MIN,Minnesota Twins,R,L,1991,100313,,,sa621016,Mason Melotakis,,,,,22220202
608700,Kevin Plawecki,C,CLE,Cleveland Indians,R,R,1991,100316,plaweke01,Kevin Plawecki,13807,Kevin Plawecki,C,plaweke01,plawk001,Kevin Plawecki,20150421
